file	line	symbol	construct	text
src/pl/ob_pl_build.cpp	283	ObPLBuilder::compile	get_expr_factory() on a PL AST's factory; passed to the ObPLResolver constructor (hands the factory to a compilation); s4-sql-front.md 2.3 rule 5 counts the four calls in ob_pl_build.cpp among the hand-offs to a compilation; statement: ObPLResolver resolver(allocator_, session_info_, schema_guard_, package_guard_, sql_proxy_, &plan_cache_, pl_sql_runtime_, pl_engine_, sr...	func_ast.get_expr_factory(), NULL/*parent ns*/, is_prepare_protocol,
src/pl/ob_pl_build.cpp	477	ObPLBuilder::compile	get_expr_factory() on a PL AST's factory; passed to the ObPLResolver constructor (hands the factory to a compilation); s4-sql-front.md 2.3 rule 5 counts the four calls in ob_pl_build.cpp among the hand-offs to a compilation; statement: ObPLResolver resolver(allocator_, session_info_, schema_guard_, package_guard_, sql_proxy_, &plan_cache_, pl_sql_runtime_, pl_engine_, sr...	func_ast.get_expr_factory(), NULL/*parent ns*/, false/*is_prepare_protocol*/);
src/pl/ob_pl_build.cpp	685	ObPLBuilder::analyze_package	get_expr_factory() on a PL AST's factory; passed to the ObPLResolver constructor (hands the factory to a compilation); s4-sql-front.md 2.3 rule 5 counts the four calls in ob_pl_build.cpp among the hand-offs to a compilation; statement: ObPLResolver resolver(allocator_, session_info_, schema_guard_, package_guard_, sql_proxy_, &plan_cache_, pl_sql_runtime_, pl_engine_, sr...	package_ast.get_expr_factory(),
src/pl/ob_pl_build.cpp	1057	ObPLBuilder::generate_package_cursors	get_expr_factory() on a PL package's factory; s4-sql-front.md 2.3 rule 5 counts the four calls in ob_pl_build.cpp among the hand-offs to a compilation; statement: OZ (ObPLExprCopier::copy_expr(package.get_expr_factory(), package_ast.get_expr(ast_cursor->get_sql_params().at(i)), expr))	OZ (ObPLExprCopier::copy_expr(package.get_expr_factory(),
src/pl/sys_package/ob_dbms_space.cpp	114	ObDbmsSpace::parse_ddl_sql	get_expr_factory() on exec context; stored into a compile context (hands the factory to a compilation); statement: resolver_ctx.expr_factory_ = ctx.get_expr_factory()	resolver_ctx.expr_factory_ = ctx.get_expr_factory();
src/sql/engine/cmd/ob_load_data_impl.cpp	94	ObLoadDataBase::make_parameterize_stmt	get_expr_factory() on exec context; stored into a compile context (hands the factory to a compilation); s4-sql-front.md 2.3 rule 5 names it among the execution-time callers (LOAD DATA); statement: resolver_ctx.expr_factory_ = ctx.get_expr_factory()	resolver_ctx.expr_factory_ = ctx.get_expr_factory();
src/sql/engine/cmd/ob_load_data_impl.cpp	485	ObLoadDataSPImpl::copy_exprs_for_shuffle_task	get_expr_factory() on exec context; statement: if (OB_ISNULL(ctx.get_expr_factory()))	if (OB_ISNULL(ctx.get_expr_factory())) {
src/sql/engine/cmd/ob_load_data_impl.cpp	493	ObLoadDataSPImpl::copy_exprs_for_shuffle_task	get_expr_factory() on exec context; statement: OZ (ObRawExprUtils::build_const_string_expr(*ctx.get_expr_factory(), ObVarcharType, ObString(), load_stmt.get_load_arguments().file_cs_ty...	OZ (ObRawExprUtils::build_const_string_expr(*ctx.get_expr_factory(),
src/sql/engine/cmd/ob_load_data_impl.cpp	504	ObLoadDataSPImpl::copy_exprs_for_shuffle_task	get_expr_factory() on exec context; statement: ObRawExprCopier copier(*ctx.get_expr_factory())	ObRawExprCopier copier(*ctx.get_expr_factory());
src/sql/engine/cmd/ob_load_data_impl.cpp	1752	ObLoadDataSPImpl::ToolBox::build_calc_partid_expr	get_expr_factory() on exec context; s4-sql-front.md 2.3 rule 5 names it among the execution-time callers (LOAD DATA); statement: if (OB_FAIL(ctx.get_expr_factory()->create_raw_expr(T_REF_COLUMN, field_expr)))	if (OB_FAIL(ctx.get_expr_factory()->create_raw_expr(T_REF_COLUMN, field_expr))) {
